regime,equation,term,estimate,std_error,t_stat,p_value
c_joint_cci_HP_wt,hew,d_recession_1991,-0.0033888599096223186,0.009070220069840667,-0.3736248826961317,0.7091382531582922
c_joint_cci_HP_wt,hew,d_apra_2014,-0.004125603133582547,0.004833595749179379,-0.8535267216508475,0.39454074319939325
c_joint_cci_HP_wt,hew,d_apra_2017,-0.018461458262814978,0.005059939514960746,-3.6485531513232323,3.483450030516977e-4
d_joint_cci_M_wt,consumption,(Intercept),-0.04655545971949171,0.03160724164976191,-1.472936494597351,0.14258521769107846
d_joint_cci_M_wt,consumption,ln_networth_y_extended,0.022232922754279336,0.010698639684911054,2.0781074425411097,0.03917586046386767
d_joint_cci_M_wt,consumption,ln_hp_over_y,-0.001488196711458733,0.0025726263143350326,-0.5784737189254007,0.5636966408209618
d_joint_cci_M_wt,consumption,real_rate,5.293547809519945e-5,4.253792534177123e-4,0.1244430180124889,0.9011089907545369
d_joint_cci_M_wt,consumption,ln_yp_over_y,0.1995350538974495,0.03689487249254297,5.40820554232241,2.0913897769148093e-7
d_joint_cci_M_wt,consumption,cci_williams_joint_m,0.0032499340809480984,0.0044258070211730255,0.7343144573182788,0.4637512117086695
d_joint_cci_M_wt,consumption,ecm_lag,-0.215180429798653,0.03630648674648991,-5.926776427065241,1.632303847642902e-8
d_joint_cci_M_wt,consumption,d2000_gst,0.005304327173034503,0.008577260179687294,0.6184174272334928,0.5371135638411135
d_joint_cci_M_wt,consumption,d2008_gfc,-0.01205748043929177,0.008605885221107322,-1.4010738151281468,0.16298326979161137
d_joint_cci_M_wt,consumption,d2020_covid,-0.1577679763416384,0.010538949130601064,-14.96999125686457,0
d_joint_cci_M_wt,consumption,d2020_rebound,0.02199742410325122,0.011098867811751609,1.9819520762252971,0.04906835922549724
d_joint_cci_M_wt,consumption,d_neg_gearing_8587,-5.612075707684201e-4,0.003270204630842015,-0.1716123711267328,0.8639428529832025
d_joint_cci_M_wt,consumption,d_recession_1991,-0.0029714760338511764,0.008648000686023538,-0.3436026593584256,0.7315623519718384
d_joint_cci_M_wt,consumption,d_apra_2014,0.0052568533346609835,0.0049092719881176075,1.0708009960305034,0.285750538473847
d_joint_cci_M_wt,consumption,d_apra_2017,-0.009743654091765922,0.004665308249634552,-2.0885338267903677,0.03821373350210511
d_joint_cci_M_wt,consumption,d_jobkeeper_2020,0.011017575339568323,0.006995142826977266,1.5750322205113896,0.11707595069198495
d_joint_cci_M_wt,house_price,(Intercept),0.12366467002784555,0.5453165351962398,0.2267759402955626,0.8208657141238425
d_joint_cci_M_wt,house_price,lincome,0.013395101199725173,0.0483619991775687,0.2769757542599294,0.7821293846474144
d_joint_cci_M_wt,house_price,log_credit_y,0.015423897024126769,0.023276489812160257,0.6626384454269783,0.5084439865531205
d_joint_cci_M_wt,house_price,real_rate,-0.002341213805808762,9.29704434305858e-4,-2.518234526392008,0.012702186799581572
d_joint_cci_M_wt,house_price,prime_age_share,-0.10380497355298304,0.3177233683491389,-0.3267149473214515,0.7442784304022068
d_joint_cci_M_wt,house_price,cci_williams_joint_m,0.0240060600945419,0.011838412776757342,2.0278106995621585,0.044113749671673474
d_joint_cci_M_wt,house_price,ecm_lag_H,-0.03720923083806141,0.02063480670889556,-1.8032265270515329,0.07309280239968308
d_joint_cci_M_wt,house_price,d_log_credit_y,0.30305610984847126,0.08327257104100988,3.639326924338903,3.606894933732008e-4
d_joint_cci_M_wt,house_price,d_real_rate,0.009760335619356669,0.0022320154148147884,4.372880023396513,2.1122238049953168e-5
d_joint_cci_M_wt,house_price,d2008_gfc,-0.027819331764482823,0.019078550462453752,-1.4581470337188758,0.14661303603984566
d_joint_cci_M_wt,house_price,d2020_covid,-0.010099384807579105,0.01964862508433061,-0.5139995681241414,0.6079082056909058
d_joint_cci_M_wt,house_price,d2020_rebound,0.018244904241900253,0.019644876926296392,0.9287359910856884,0.35431993369500514
d_joint_cci_M_wt,house_price,d_neg_gearing_8587,-0.013245278192593708,0.007423979141325956,-1.7841211485715518,0.07615672390287109
